"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-11-20T09:54:30.049+08:00[Asia/Shanghai]","0.0","247.66"
"Payments","Application of prepayment full","FAILURE","2023-11-20T09:58:38.533+08:00[Asia/Shanghai]","0.0","32.56"
"Redistribution","Voucher match with tolerance","ERROR","2023-11-20T10:33:11.165+08:00[Asia/Shanghai]","0.0","101.53"
"Review AP entries","Create voucher entry and edit","ERROR","2023-11-20T10:47:49.862+08:00[Asia/Shanghai]","0.0","159.71"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-11-20T10:55:26.137+08:00[Asia/Shanghai]","0.0","99.77"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-20T11:23:30.369+08:00[Asia/Shanghai]","0.0","47.34"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-20T11:24:18.424+08:00[Asia/Shanghai]","0.0","54.63"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-20T11:25:13.78+08:00[Asia/Shanghai]","0.0","48.08"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-20T11:26:02.562+08:00[Asia/Shanghai]","0.0","48.36"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-20T11:26:51.628+08:00[Asia/Shanghai]","0.0","42.34"
"Voucher entries","Release retention full","FAILURE","2023-11-20T11:27:35.072+08:00[Asia/Shanghai]","0.0","46.33"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-11-20T11:30:32.578+08:00[Asia/Shanghai]","0.0","58.72"
"Voucher entries","Search and post PV","ERROR","2023-11-20T11:37:25.697+08:00[Asia/Shanghai]","0.0","46.45"
"Voucher entries","Voucher match with tax","ERROR","2023-11-20T11:41:08.086+08:00[Asia/Shanghai]","0.0","52.92"
"Voucher entries","Partial voucher match","ERROR","2023-11-20T11:42:01.72+08:00[Asia/Shanghai]","0.0","51.84"
"Voucher entries","Voucher match with retention","ERROR","2023-11-20T11:42:54.286+08:00[Asia/Shanghai]","0.0","57.2"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-11-20T11:43:52.199+08:00[Asia/Shanghai]","0.0","96.19"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-11-20T11:45:29.084+08:00[Asia/Shanghai]","0.0","47.17"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-11-20T11:46:16.963+08:00[Asia/Shanghai]","0.0","86.53"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-11-20T11:52:25.032+08:00[Asia/Shanghai]","0.0","49.58"
"Voucher entries","Simple prepayment","FAILURE","2023-11-20T11:53:15.321+08:00[Asia/Shanghai]","0.0","31.46"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-11-20T11:56:58.361+08:00[Asia/Shanghai]","0.0","50.9"
"Voucher entries","Partial voucher match with retention","ERROR","2023-11-20T11:57:49.937+08:00[Asia/Shanghai]","0.0","51.17"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-11-20T11:58:41.826+08:00[Asia/Shanghai]","0.0","55.63"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-11-20T12:05:48.76+08:00[Asia/Shanghai]","0.0","53.02"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-11-20T12:06:42.499+08:00[Asia/Shanghai]","0.0","51.3"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-11-20T12:07:34.495+08:00[Asia/Shanghai]","0.0","49.9"
"Voucher entries","Simple voucher match","ERROR","2023-11-20T12:08:25.116+08:00[Asia/Shanghai]","0.0","51.77"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-11-20T12:11:41.392+08:00[Asia/Shanghai]","0.0","47.67"
"Voucher entries","Voucher matching","ERROR","2023-11-20T12:14:41.605+08:00[Asia/Shanghai]","0.0","49.97"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-20T12:15:32.257+08:00[Asia/Shanghai]","0.0","167.89"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-11-20T12:23:10.165+08:00[Asia/Shanghai]","0.0","49.17"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-11-20T12:26:10.633+08:00[Asia/Shanghai]","0.0","52.7"
