"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-09-18T19:20:59.357+08:00[Asia/Shanghai]","0.0","47.87"
"Voucher entries","Checking line reference place holder","ERROR","2023-09-18T19:24:33.999+08:00[Asia/Shanghai]","0.0","275.73"
"Voucher entries","Search and post PV","ERROR","2023-09-18T19:29:10.417+08:00[Asia/Shanghai]","0.0","49.34"
"Voucher entries","Voucher match with tax","ERROR","2023-09-18T19:32:34.357+08:00[Asia/Shanghai]","0.0","50.19"
"Voucher entries","Partial voucher match","ERROR","2023-09-18T19:33:25.234+08:00[Asia/Shanghai]","0.0","52.03"
"Voucher entries","Voucher match with retention","ERROR","2023-09-18T19:34:17.983+08:00[Asia/Shanghai]","0.0","50.12"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-09-18T19:35:08.771+08:00[Asia/Shanghai]","0.0","101.72"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-09-18T19:36:51.167+08:00[Asia/Shanghai]","0.0","55.1"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-09-18T19:37:46.935+08:00[Asia/Shanghai]","0.0","52.95"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-09-18T19:43:29.083+08:00[Asia/Shanghai]","0.0","50.61"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-09-18T19:45:29.061+08:00[Asia/Shanghai]","0.0","359.09"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-09-18T19:51:28.821+08:00[Asia/Shanghai]","0.0","50.23"
"Voucher entries","Partial voucher match with retention","ERROR","2023-09-18T19:52:19.726+08:00[Asia/Shanghai]","0.0","88.92"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-09-18T19:53:49.322+08:00[Asia/Shanghai]","0.0","53.76"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-09-18T20:00:54.791+08:00[Asia/Shanghai]","0.0","51.97"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-09-18T20:01:47.429+08:00[Asia/Shanghai]","0.0","90.4"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-09-18T20:03:18.509+08:00[Asia/Shanghai]","0.0","51.43"
"Voucher entries","Simple voucher match","ERROR","2023-09-18T20:04:10.612+08:00[Asia/Shanghai]","0.0","48.6"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-09-18T20:07:12.846+08:00[Asia/Shanghai]","0.0","60.96"
"Voucher entries","Voucher matching","ERROR","2023-09-18T20:10:36.516+08:00[Asia/Shanghai]","0.0","50.49"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-09-18T20:11:27.655+08:00[Asia/Shanghai]","0.0","236.6"
"Voucher entries","Creating voucher entry","ERROR","2023-09-18T20:15:24.985+08:00[Asia/Shanghai]","0.0","249.32"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-09-18T20:22:41.028+08:00[Asia/Shanghai]","0.0","53.6"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-09-18T20:25:47.839+08:00[Asia/Shanghai]","0.0","48.48"
